"","1","2","3"
"190",0.800908851187697,0.0997640047721687,0.0993271440401344
"191",0.997759292246296,0.00186365680074058,0.000377050952963266
"192",0.997881666473232,0.00199692089410982,0.00012141263265835
"193",0.999969096961354,2.92161189065047e-05,1.68691973905385e-06
"194",0.999992301868721,7.45553917174351e-06,2.42592107595241e-07
"195",0.999999196642489,5.50952972768929e-07,2.52404537749583e-07
"196",0.999999982642316,8.79784449742578e-09,8.55983922664169e-09
"197",0.9999999764423,1.18038152602847e-08,1.17538845727211e-08
"198",0.999999934562681,4.2474131747246e-08,2.29631876940499e-08
"199",0.999977745498475,2.13406153365294e-05,9.13886188461183e-07
"200",0.999999807588737,1.42568238801435e-07,4.98430240824538e-08
"201",0.999999936135278,3.20759731265413e-08,3.1788749376756e-08
"202",0.999999825120261,6.20466608711004e-08,1.12833078660287e-07
"203",0.999969640086681,4.33155475342909e-07,2.99267578439343e-05
"204",0.999956325665902,5.82904168037934e-07,4.30914299302682e-05
"205",0.997378400552447,3.84976318745667e-05,0.00258310181567864
"206",0.999987634444943,6.0842543542255e-07,1.17571296216016e-05
"207",0.999998922070087,4.82919213286676e-07,5.9501069993147e-07
"208",0.994939282244275,0.000107721975603045,0.00495299578012227
"209",0.999854892709412,0.000102281116852546,4.282617373597e-05
"210",0.999999946441106,3.49130716248345e-08,1.86458220901852e-08
"211",0.996517711129335,0.00346061075835617,2.16781123093469e-05
"212",0.99999798566322,1.00445511953737e-06,1.0098816608413e-06
"213",0.999998826556391,5.86713491177087e-07,5.86730117401572e-07
"214",0.999999620084801,1.89957550082228e-07,1.89957649283063e-07
"215",0.999999784902765,1.07548602522933e-07,1.07548632774897e-07
"216",0.999998539426211,7.30294297045382e-07,7.30279492065061e-07
"217",0.999994069863493,2.96506869391152e-06,2.9650678134546e-06
"218",0.999991864798013,4.07457012200989e-06,4.06063186450357e-06
"219",0.993859936130453,0.00595455723866443,0.000185506630883057
"220",0.999999241180711,7.195428879049e-07,3.9276401154691e-08
"221",0.999999960142924,2.22236374300267e-08,1.76334385784081e-08
"222",0.999999966457434,1.67786035738621e-08,1.67639619989376e-08
"223",0.999999986399864,6.80009559615882e-09,6.8000402465802e-09
"224",0.999999952242267,2.38788665402984e-08,2.38788663088061e-08
"225",0.999999907511816,4.62440921080824e-08,4.62440921057968e-08
"226",0.999995387327168,2.30633641623851e-06,2.30633641623843e-06
"227",0.999998111293735,9.44353132328835e-07,9.44353132328842e-07
"228",0.999999638638321,1.80680839385149e-07,1.80680839385151e-07
"229",0.999999994283055,2.85847272654655e-09,2.85847272654678e-09
"230",0.999999923608004,3.8195997936602e-08,3.81959979366034e-08
