"","M","B","A"
"190",0.332173483656093,0.334273193113448,0.333553323230459
"191",0.181078528537719,0.663628000013423,0.155293471448858
"192",0.0157919067703725,0.7859642480692,0.198243845160427
"193",0.00243782156523959,0.743670043379104,0.253892135055656
"194",0.00428649867942172,0.574477654246447,0.421235847074131
"195",0.00989000400034985,0.360403565545607,0.629706430454043
"196",0.00663490086828263,0.206914624433475,0.786450474698242
"197",0.000840720786020999,0.252621412650335,0.746537866563644
"198",0.00635751332623845,0.213506998875238,0.780135487798523
"199",0.00113718474170344,0.764737816073102,0.234124999185195
"200",0.000222383263051383,0.821638790007765,0.178138826729184
"201",0.000164632897425874,0.828808720322957,0.171026646779617
"202",0.00224773738728574,0.786319465634582,0.211432796978132
"203",0.00031356870891592,0.856967320647147,0.142719110643938
"204",0.000197226236374404,0.860440941859939,0.139361831903687
"205",0.000293188854766309,0.828178103680359,0.171528707464875
"206",0.000495326948034058,0.945200429312818,0.0543042437391479
"207",0.000518426007846314,0.960933079380713,0.0385484946114411
"208",0.000335277474363034,0.827761039559667,0.17190368296597
"209",0.000187028055459947,0.950954109492195,0.0488588624523452
"210",7.32768211024488e-06,0.997201920121855,0.00279075219603495
"211",3.31863694027055e-05,0.985276183933067,0.0146906296975304
"212",0.0314470556582052,0.645391246329202,0.323161698012593
"213",0.745358872694441,0.0401129961785873,0.214528131126972
"214",0.687931165774562,0.0655725942202984,0.24649624000514
"215",0.96884794857257,0.000103924428959253,0.0310481269984708
"216",0.000829836616318436,0.834039753092825,0.165130410290857
"217",0.00334048521832067,0.854759285657302,0.141900229124377
"218",0.00441142737300553,0.825320223457303,0.170268349169691
"219",0.00775804890713349,0.798087336458438,0.194154614634429
"220",0.0440207391296381,0.110332277015955,0.845646983854407
"221",0.433621008200157,0.00870691682372744,0.557672074976116
"222",0.679570250649441,0.00168641486944907,0.31874333448111
"223",0.864682148465839,3.89774731203025e-05,0.135278874061041
"224",0.906534276337352,0.000261436857793276,0.0932042868048552
"225",0.92331944739877,0.000208654432403097,0.0764718981688267
"226",0.933431185202657,0.00514195881579016,0.0614268559815534
"227",0.97502763588934,0.000998239233441328,0.023974124877219
"228",0.983862787338284,9.15610352555923e-05,0.0160456516264605
"229",0.997803697641139,1.51729937630042e-07,0.00219615062892323
"230",0.99648054431457,4.30173249081822e-06,0.0035151539529396
"231",0.937877521937149,0.000236901585960324,0.0618855764768904
"232",0.928693046016507,0.00592309062167623,0.0653838633618169
"233",0.947805426053055,0.000243896955387169,0.0519506769915576
"234",0.957417029066022,3.43678795262234e-05,0.0425486030544518
"235",0.963527570752215,2.90842118271625e-05,0.0364433450359575
"236",0.983257630158673,1.29624957914816e-05,0.0167294073455351
"237",0.985805784167995,3.7922115835143e-06,0.0141904236204219
"238",0.988962914079437,3.36264541578411e-05,0.0110034594664046
"239",0.98664629180998,2.263880130335e-06,0.01335144430989
"240",0.987186296965631,1.32148515902693e-06,0.0128123815492104
"241",0.98886463826224,8.57038222891367e-06,0.0111267913555311
"242",0.99012313602148,4.99720842416428e-06,0.00987186677009621
"243",0.997693864205271,1.73302971582374e-07,0.002305962491757
"244",0.987367250008188,2.06519717113773e-05,0.0126120980201009
"245",0.98470556624085,2.74346424887912e-05,0.0152669991166614
"246",0.98515778731099,3.90144079118929e-05,0.014803198281098
"247",0.969136716031725,8.40763970637539e-05,0.0307792075712108
"248",0.970598921202561,6.87278245212954e-05,0.0293323509729179
"249",0.980006957862558,3.32744032918883e-05,0.0199597677341501
"250",0.982968306199623,5.40234932494463e-06,0.0170262914510522
"251",0.983443051731698,7.46605269527001e-06,0.016549482215607
"252",0.961460343201564,0.00101432254869981,0.037525334249736
"253",0.999997022176189,3.3644451980828e-12,2.97782044692442e-06
"254",0.944247460777287,0.000129473006606766,0.0556230662161063
"255",0.956747604000554,0.000199883956172644,0.0430525120432735
"256",0.966960894636167,0.000273153333240349,0.0327659520305925
"257",0.962467311871384,0.00263870096980645,0.0348939871588098
"258",0.93974433804362,0.0179782151363638,0.0422774468200167
"259",0.00020834478446911,0.999455997253128,0.00033565796240341
"260",0.96829126130243,0.000153411637361429,0.0315553270602085
"261",0.970762523540419,0.000376652260565629,0.0288608241990149
"262",0.997538224487628,1.04849902084427e-06,0.00246072701335116
"263",0.99755555731082,1.47105009820189e-07,0.00244429558416988
"264",0.957652080354835,0.000663140943234798,0.0416847787019302
"265",0.967303715976467,0.00168433239808641,0.0310119516254469
"266",0.956872838059431,0.00206372032033446,0.0410634416202348
"267",0.964648160333864,0.00141473546550766,0.0339371042006279
"268",0.906727047275665,0.00812217469245837,0.0851507780318771
"269",0.90138272218216,0.000182242067364439,0.0984350357504752
"270",0.920102827432306,6.9183122506612e-05,0.079827989445187
"271",0.919692208504839,0.000394490850354514,0.0799133006448068
"272",0.903985896869868,0.00536771675666346,0.0906463863734688
"273",0.866676326185013,0.0184426866603673,0.11488098715462
