Species	Code	AN	18s	28s	H3	wnt-1	H2A	Family	Subfamily	Complete_genome
Statilia_sp.	Staspe	KU201316.1	FJ806435.1	FJ806635.1	FJ806797.1	na	na	Mantidae	Mantinae	x
Pseudovates_chlorophaea	Psechl	KX434838.1	EF383487.1	EF383649.1	AY491350.1	KT732111.1	na	Mantidae	Vatinae	x
Tarachomantis_alaotrana	Tarala	KX434862.1	na	na	na	na	na	Mantidae	Tenoderinae	x
Sphodromantis_viridis	Sphvir	KX434840.1	FJ806340.1	AY491223.1	GU064761.1	FJ802933.1	na	Mantidae	Tenoderinae	x
Polyspilota_griffinii	Polgri	KX434863.1	na	na	na	na	na	Mantidae	Tenoderinae	x
Plistospilota_sp.	Plispe	KX434821.1	AY491191.1	AY491250.1	AY491364.1	na	na	Mantidae	Tenoderinae	x
Prohierodula_picta	Propic	KX434855.1	na				na	Mantidae	Tenoderinae	x
Prohierodula_sp.	Prospe	KX434868.1	na				na	Mantidae	Tenoderinae	x
Camelomantis_moultoni	Cammou	KX434812.1	FJ806388.1	FJ806587.1	FJ806751.1	FJ803027.1	na	Mantidae	Hierodulinae	PARTIAL
Hierodula_majuscula	Hiemaj	KX434819.1	na	na	na	na	na	Mantidae	Hierodulinae	x
Rhombodera_sp.	Rhospe	KX619654.1	na	na	GU066920.1	na	na	Mantidae	Hierodulinae	x
Mesopteryx_alata_2	Mesala2	KX434813.1	na	na	na	na	na	Mantidae	Tenoderinae	x
Mesopteryx_alata	Mesala	MW357300.1	na	na	na	na	na	Mantidae	Tenoderinae	x
Pnigomantis_medioconstricta	Pnimed	KX434851.1	na	na	na	na	na	Mantidae	Hierodulinae	x
Hierodula_multispina	Hiemul	KX434830.1	na	na	na	na	na	Mantidae	Hierodulinae	x
Blepharopsis_mendica	Blemen	KX434828.1	FJ806442.1	na	FJ806803.1	FJ803117.1	KR360652.1	Empusidae	Blepharodinae	x
Idolomantis_diabolica	Idodia	KX434864.1	EF383572.1	EF383738.1	EF384150.1	FJ803061.1	KR360643.1	Empusidae	Blepharodinae	x
Idolomorpha_lateralis	Idolat	KX434824.1	na	na	na	na	na	Empusidae	Empusinae	x
Gongylus_gongylodes	Gongon	KX434815.1	AY521860.1	EF383634.1	AY521711.1	na	na	Empusidae	Empusinae	x
Empusa_pennicornis	Emppen	KX434825.1	na	na	na	na	na	Empusidae	Empusinae	x
Phyllothelys_sp.	Physpe	KY689119.1	EF383531.1	EF383694.1	EF384110.1	na	na	Hymenopodidae	Phyllothelyinae	x
Phyllothelys_werneri	Phywer	NC_086825.1	na	na	na	na	na	Hymenopodidae	Phyllothelyinae	x
Otomantis_sp.	Otospe	KX434856.1	EF383559.1	EF383724.1	EF384137.1	FJ803048.1	KR360639.1	Hymenopodidae	Acromantinae	x
Ceratomantis_saussurii	Cersau	KX091850.1	na	na	na	na	na	Hymenopodidae	Oxypilinae	x
Pachymantis_bicingulata	Pacbic	NC_069811.1	na	 KR360580.1	na	na	KR360665.1	Hymenopodidae	Oxypilinae	x
Hestiasula_sp.	Hesspe	KX091855.1	EF383576.1	EF383742.1	EF384154.1	na	na	Hymenopodidae	Acromantinae	x
Hestiasula_hoffmanni	Heshof	KX434859.1	na	na	na	na	na	Hymenopodidae	Acromantinae	x
Psychomantis_borneensis	Psybor	NC_045876.1	FJ806487.1	FJ806689.1	FJ806847.1	FJ803155.1	KR360658.1	Hymenopodidae	Acromantinae	x
Popa_spurca_spurca	Popspuspu	KY689128.1	FJ806404.1	EF383710.1	EF384126.1	FJ803030.1	na	Mantidae	Vatinae	x
Acromantis_hesione	Acrhes	NC_086817.1	na	na	na	na	na	Hymenopodidae	Acromantinae	x
Citharomantis_falcata	Citfal	NC_069809.1	EF383532.1	EF383695.1	EF384111.1	FJ803009.1	na	Hymenopodidae	Acromantinae	x
Sibylla_pretiosa	Sibpre	NC_037235.1	EF383564.1	EF383730.1	EF384142.1	FJ803055.1	na	Hymenopodidae	Sibyllinae	x
Phyllocrania_paradoxa	Phypar	NC_086795.1	EF383477.1	EF383639.1	DQ874006.1	 FJ802931.1	KR360664.1	Hymenopodidae	Phyllocraniinae	x
Anaxarcha_sinensis	Anasin	NC_086822.1	na	na	na	na	na	Hymenopodidae	Acromantinae	x
Anaxarcha_zhengi	Anazhe	NC_030268.1	na	na	na	na	na	Hymenopodidae	Acromantinae	x
Odontomantis_sp.	Odospe	PP072307.1	na	na	na	na	na	Hymenopodidae	Acromantinae	x
Pseudocreobotra_wahlbergii	Psewah	KX434811.1	DQ874179.1	DQ874249.1	DQ874009.1	na	na	Hymenopodidae	Hymenopodinae	x
Hymenopus_coronatus	Hymcor	KX434861.1	EF383476.1	AY491220.1	KR360684.1	FJ802930.1	na	Hymenopodidae	Hymenopodinae	x
Theopropus_rubrobrunneus	Therub	KX434818.1	na	na	na	na	na	Hymenopodidae	Hymenopodinae	x
Theopropus_cattulus	Thecat	KX434829.1	na	na	na	na	na	Hymenopodidae	Hymenopodinae	x
Theopropus_elegans	Theele	KY689125.1	EF383561.1	FJ806571.1	EF384139.1	FJ803051.1	KR360640.1	Hymenopodidae	Hymenopodinae	UNVERIFIED
Creobroter_apicalis	Creapi	KX434867.1	EF383514.1	 EF383675.1	EF384093.1	FJ802985.1	KR360629.1	Hymenopodidae	Hymenopodinae	x
Creobroter_gemmatus	Cregem	NC_030267.1	na	KM507461.1	na	na	na	Hymenopodidae	Hymenopodinae	x
Creobroter_jiangxiensis	Crejia	NC_037234.1	na	na	na	na	na	Hymenopodidae	Hymenopodinae	x
Haania_sp.	Haaspe	KY689130.1	na	na	na	na	na	Haaniidae	Haaniinae	PARTIAL
