Tree	number	size	Clan1	Clan2	Clan3	Clan4	Clan5	Clan6	Clan7	Clan8	Clan9	Clan10	Clan11	Clan12	Clan13	Clan14	Clan15	Clan16	Clan17	Clan18	Clan19	Clan20	Clan21	Clan22	Clan23	Clan24	Clan25	boot_average	boot_max	boot_min	boot_stdev
Tree	1	189	1	0	1	?	?	?	?	?	0	?	1	0	?	0	0	0	1	1	1	1	0	1	1	?	0	0.000000	0.000000	0.000000	0.000000
Tree	2	189	1	0	1	?	?	?	?	?	0	?	1	0	?	0	0	0	1	1	1	1	0	1	1	?	0	0.000000	0.000000	0.000000	0.000000
Tree	3	189	1	0	1	?	?	?	?	?	0	?	1	0	?	0	0	0	1	1	1	1	0	1	1	?	0	0.000000	0.000000	0.000000	0.000000
Tree	4	189	1	0	1	?	?	?	?	?	0	?	1	0	?	1	0	0	1	1	1	1	0	0	1	?	0	0.000000	0.000000	0.000000	0.000000
