Code	AN	Family	Subfamily
Parkuh	KY689117.1	Hymenopodidae	Phyllothelyinae
Phybre	NC_086622.1	Hymenopodidae	Phyllothelyinae
Phybre2	MT024239.1	Hymenopodidae	Phyllothelyinae
Rapfus	NC_077477.1	Acanthopidae	Stenophyllinae
Lepspe	OM202571.1	Leptomantellidae	na
Crespe	MW222469.1	Hymenopodidae	Hymenopodinae
Panfra	PP438770.1	Hymenopodidae	Hymenopodinae
Cermac	PP438765.1	Hymenopodidae	Phyllothelyinae
Otoscu	NC_086621.1	Hymenopodidae	Acromantinae
Tenaribre	OK542393.1	Mantidae	Tenoderinae
Hiespe2	MW357298.1	Mantidae	Hierodulinae
Hiespe	OL414959.1	Mantidae	Hierodulinae
Majmou	PP072306.1	Hymenopodidae	Acromantinae
Chestr	NC_077479.1	Toxoderidae	Toxoderinae
Carspe	OM910846.1	Thespidae	Thespinae
Amohai	NC_057070.1	Amorphoscelidae	Amorphoscelinae
Pselob	PV564197.1	Acanthopidae	Acanthopinae
Chlles	PP438767.1	Hymenopodidae	Hymenopodinae
Ceryun	PP438766.1	Hymenopodidae	Oxypilinae
Astmaj	NC_086830.1	Hymenopodidae	Oxypilinae
Astbas	PP438763.1	Hymenopodidae	Oxypilinae
Themac	NC_086832.1	Gonypetidae	Gonypetinae
Gonbru	NC_086831.1	Gonypetidae	Gonypetinae
Arrpur	NC_086829.1	Haaniidae	Haaniinae
Arrbre	NC_086828.1	Haaniidae	Haaniinae
Theoph	NC_086827.1	Gonypetidae	Gonypetinae
Anatia	NC_086826.1	Hymenopodidae	Hymenopodinae
Physin	NC_086824.1	Hymenopodidae	Phyllothelyinae
Thesin	NC_086823.1	Hymenopodidae	Hymenopodinae
Amawuz	NC_086818.1	Gonypetidae	Iridopteryginae
Tenspe	OM202552.1	Mantidae	Tenoderinae
Gonspe	OM177664.1	Gonypetidae	Gonypetinae
Acrjap	NC_085562.1	Hymenopodidae	Acromantinae
Thespe	OM202564.1	Hymenopodidae	Hymenopodinae
Mirspe	OM202562.1	Nanomantidae	Nanomantinae
Sinspe	OM202561.1	Haaniidae	Haaniinae
Anagra	OM202555.1	Hymenopodidae	Hymenopodinae
Anaspe	OM202554.1	Hymenopodidae	Hymenopodinae
Caldia	NC_077476.1	Acanthopidae	Stenophyllinae
Haavit	KX434845.1	Haaniidae	Haaniinae
Metspe	KX434871.1	Metallyticidae	na
Pardav	KX434870.1	Hymenopodidae	Hymenopodinae
