Code	AN	Family	Subfamily	Species
Heshof	KX434859.1	Hymenopodidae	Oxypilinae	Hestiasula_hoffmanni
Psybor	NC_045876.1	Hymenopodidae	Acromantinae	Psychomantis_borneensis
Popspuspu	KY689128.1	Deroplatyidae	Popinae	Popa_spurca_spurca
Acrhes	NC_086817.1	Hymenopodidae	Acromantinae	Acromantis_hesione
Citfal	NC_069809.1	Hymenopodidae	Acromantinae	Citharomantis_falcata
Sibpre	NC_037235.1	Hymenopodidae	Sibyllinae	Sibylla_pretiosa
Phypar	NC_086795.1	Hymenopodidae	Phyllocraniinae	Phyllocrania_paradoxa
Anasin	NC_086822.1	Hymenopodidae	Hymenopodinae	Anaxarcha_sinensis
Anazhe	NC_030268.1	Hymenopodidae	Hymenopodinae	Anaxarcha_zhengi
Odospe	PP072307.1	Hymenopodidae	Hymenopodinae	Odontomantis_sp.
Psewah	KX434811.1	Hymenopodidae	Hymenopodinae	Pseudocreobotra_wahlbergii
Hymcor	KX434861.1	Hymenopodidae	Hymenopodinae	Hymenopus_coronatus
Therub	KX434818.1	Hymenopodidae	Hymenopodinae	Theopropus_rubrobrunneus
Thecat	KX434829.1	Hymenopodidae	Hymenopodinae	Theopropus_cattulus
Theele	KY689125.1	Hymenopodidae	Hymenopodinae	Theopropus_elegans
Creapi	KX434867.1	Hymenopodidae	Hymenopodinae	Creobroter_apicalis
Cregem	NC_030267.1	Hymenopodidae	Hymenopodinae	Creobroter_gemmatus
Crejia	NC_037234.1	Hymenopodidae	Hymenopodinae	Creobroter_jiangxiensis
Haaspe	KY689130.1	Haaniidae	Haaniinae	Haania_sp.
Arrpal	NC_051892.1	Haaniidae	Haaniinae	Arria_pallida
Arrpal2	OM202563.1	Haaniidae	Haaniinae	Arria_pallida_2
Thespe	KU201314.1	Gonypetidae	Gonypetinae	Theopompa_sp.
Plibim	NC_051490.1	Nanomantidae	Tropidomantinae	Pliacanthopus_bimaculatus
Bolbra	OZ336339.1	Rivetinidae	Rivetininae	Bolivaria_brachyptera
Yermex	MW357303.1	Amelidae	na	Yersinia_mexicana
Galamo	NC_077478.1	Galinthiadidae	na	Galinthias_amoena
Asiyun	MW357297.1	Mantidae	Choeradodinae	Asiadodis_yunnanensis
Hiedul	KY689136.1	Mantidae	Hierodulinae	Hierodulella_sp.
Pseper	MW357301.1	Mantidae	Vatinae	Pseudovates_peruviana
Stabio	MW357302.1	Mantidae	Vatinae	Stagmatoptera_biocellata
Mekqui	MN267041.1	Mantidae	Hierodulinae	Mekongomantis_quinquespinosa
Rholat	KX091864.1	Mantidae	Hierodulinae	Rhombodera_latipronotum
Creelo	KX091851.1	Hymenopodidae	Hymenopodinae	Creobroter_elongata
Parkuh	KY689117.1	Hymenopodidae	Phyllothelyinae	Parablepharis_kuhlii
Phybre	NC_086622.1	Hymenopodidae	Phyllothelyinae	Phyllothelys_breve
Phybre2	MT024239.1	Hymenopodidae	Phyllothelyinae	Phyllothelys_breve_2
Rapfus	NC_077477.1	Acanthopidae	Stenophyllinae	Raptrix_fusca
Lepspe	OM202571.1	Leptomantellidae	na	Leptomantella_sp.
Crespe	MW222469.1	Hymenopodidae	Hymenopodinae	Creobroter_sp.
Panfra	PP438770.1	Hymenopodidae	Hymenopodinae	Panurgica_fratercula
Cermac	PP438765.1	Hymenopodidae	Phyllothelyinae	Ceratocrania_macra
Otoscu	NC_086621.1	Hymenopodidae	Acromantinae	Otomantis_scutigera
Tenaribre	OK542393.1	Mantidae	Tenoderinae	Tenodera_aridifolia_brevicollis
Hiespe2	MW357298.1	Mantidae	Hierodulinae	Hierodula_sp._2
Hiespe	OL414959.1	Mantidae	Hierodulinae	Hierodula_sp.
Majmou	PP072306.1	Hymenopodidae	Acromantinae	Majangella_moultoni
Chestr	NC_077479.1	Toxoderidae	Toxoderinae	Cheddikulama_straminea
Carspe	OM910846.1	Thespidae	Thespinae	Carrikerella_sp.
Amohai	NC_057070.1	Amorphoscelidae	Amorphoscelinae	Amorphoscelis_hainana
Pselob	PV564197.1	Acanthopidae	Acanthopinae	Pseudacanthops_lobipes
Chlles	PP438767.1	Hymenopodidae	Hymenopodinae	Chlidonoptera_lestoni
Ceryun	PP438766.1	Hymenopodidae	Oxypilinae	Ceratomantis_yunnanensis
Astmaj	NC_086830.1	Hymenopodidae	Oxypilinae	Astyliasula_major
Astbas	PP438763.1	Hymenopodidae	Oxypilinae	Astyliasula_basinigra
Themac	NC_086832.1	Gonypetidae	Gonypetinae	Theopompa_maculosa
Gonbru	NC_086831.1	Gonypetidae	Gonypetinae	Gonypeta_brunneri
Arrpur	NC_086829.1	Haaniidae	Haaniinae	Arria_pura
Arrbre	NC_086828.1	Haaniidae	Haaniinae	Arria_brevifrons
Theoph	NC_086827.1	Gonypetidae	Gonypetinae	Theopompa_ophthalmica
Anatia	NC_086826.1	Hymenopodidae	Hymenopodinae	Anaxarcha_tianmushanensis
Physin	NC_086824.1	Hymenopodidae	Phyllothelyinae	Phyllothelys_sinensis
Thesin	NC_086823.1	Hymenopodidae	Hymenopodinae	Theopropus_sinecus
Amawuz	NC_086818.1	Gonypetidae	Iridopteryginae	Amantis_wuzhishana
Tenspe	OM202552.1	Mantidae	Tenoderinae	Tenodera_sp.
Gonspe	OM177664.1	Gonypetidae	Gonypetinae	Gonypeta_sp.
Acrjap	NC_085562.1	Hymenopodidae	Acromantinae	Acromantis_japonica
Thespe	OM202564.1	Hymenopodidae	Hymenopodinae	Theopropus_sp.
Mirspe	OM202562.1	Nanomantidae	Nanomantinae	Miromantis_sp.
Sinspe	OM202561.1	Haaniidae	Haaniinae	Sinomiopteryx_sp.
Anagra	OM202555.1	Hymenopodidae	Hymenopodinae	Anaxarcha_graminea
Anaspe	OM202554.1	Hymenopodidae	Hymenopodinae	Anaxarcha_sp.
Caldia	NC_077476.1	Acanthopidae	Stenophyllinae	Callibia_diana
Haavit	KX434845.1	Haaniidae	Haaniinae	Haania_vitalisi
Metspe	KX434871.1	Metallyticidae	na	Metallyticus_sp.
Pardav	KX434870.1	Hymenopodidae	Hymenopodinae	Parymenopus_davisoni
Hielon	OK542392.1	Mantidae	Hierodulinae	Hierodula_longa
Physha	KX091863.1	Hymenopodidae	Phyllothelyinae	Phyllothelys_shaanxiense
Manrel	NC_030265.1	Mantidae	Mantinae	Mantis_religiosa
Hiepat	NC_034283.1	Mantidae	Hierodulinae	Hierodula_patellifera
Sphlin	NC_037204.1	Mantidae	Tenoderinae	Sphodromantis_lineola
Stamac	NC_065760.1	Mantidae	Mantinae	Statilia_maculata
Lepton	OK480879.1	Leptomantellidae	na	Leptomantella_tonkinae
Pargig	MG888457.1	Toxoderidae	Toxoderinae	Paratoxodera_gigliotosi
Ambpar	MG888436.1	Hymenopodidae	Acromantinae	Ambivia_parapopa
Amospe	MG888437.1	Amorphoscelidae	Amorphoscelinae	Amorphoscelis_sp.
Hymcor	MG888449.1	Hymenopodidae	Hymenopodinae	Hymenopus_coronatoides
Leplac	MG888453.1	Leptomantellidae	na	Leptomantella_lactea
Metspl	MG888455.1	Metallyticidae	na	Metallyticus_splendidus
Parkuhasi	MG888456.1	Hymenopodidae	Phyllothelyinae	Parablepharis_kuhlii_asiatica
Singua	MG888464.1	Haaniidae	Haaniinae	Sinomiopteryx_guangxiensis
Ameand	AA001	Amelidae	na	Ameles_andreae
Ameser	AA003	Amelidae	na	Ameles_serpentiscauda
Amespa	AA005	Amelidae	na	Ameles_spallanzania
Ameass	43assoi	Amelidae	na	Ameles_assoi
Psebet	16CI1f	Amelidae	na	Pseudoyersinia_betancuriae
Amepic	41K26	Amelidae	na	Ameles_picteti
Amedum	59T3	Amelidae	na	Ameles_dumonti
Amespa2	23spal	Amelidae	na	Ameles_spallanzania2
Amedec	ADEC02	Amelidae	na	Ameles_decolor
Rivbae	RBE05	Rivetinidae	na	Rivetina_baetic
Aptapt	AAP07	Amelidae	na	Apteromantis_aptera
Retsan	NC_009499.1	Termitoidae	na	Reticulitermes_santonensis
Masdar	NC_018120.1	Termitoidae	na	Mastotermes_darwiniensis
Copfor	NC_015800.1	Termitoidae	na	Coptotermes_formosanus
Perbru	NC_039940.1	Blattidae	na	Periplaneta_brunnea
Blager	NC_012901.1	Ectobiidae	na	Blatella_germanica
Dippun	NC_082459.1	Blaberidae	na	Diploptera_punctata
Eupsin	NC_014274.1	Corydiidae	na	Eupolyphaga_sinensis
Crymer	NC_037496.1	Cryptocercidae	na	Cryptocercus_meridianus
