AN	Species	Wings	Male	Female	Dimorphism	Photos_Male	Photos_Female
KY689118.1	Stenotoxodera_porioni	M	M	M	no	https://www.inaturalist.org/observations/152635338_	
NC_007702.1	Tamolanica_tamolana	M	M	M	no	https://www.inaturalist.org/observations/3217594_	https://www.inaturalist.org/observations/65795282_
KX434862.1	Tarachomantis_alaotrana	M	M	M	no	https://www.inaturalist.org/taxa/750057-Tarachomantis-alaotrana/browse_photos_	..
KX434817.1	Taumantis_sigiana	B	M	B	yes	https://www.littlebigworlds.com/systematik/miomantidae/taumantis-sigiana/_	..
NC_065759.1	Tenodera_angustipennis	M	M	M	no		https://www.inaturalist.org/observations/18776729_
OK542393.1	Tenodera_aridifolia_brevicollis	M	M	M	no	https://www.inaturalist.org/observations/47228337_	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Mantis_japonica_holotype_F_DH_50mm_1	4x_F5.jpg_"
NC_030266.1	Tenodera_sinensis	M	M	M	no	https://www.inaturalist.org/observations/135886284_	https://www.inaturalist.org/observations/193572823_
OM202552.1	Tenodera_sp.	M	M	M	no	https://www.inaturalist.org/observations/135886284_	https://www.inaturalist.org/observations/193572823_
NC_086832.1	Theopompa_maculosa	B	M	B	yes	https://www.inaturalist.org/observations/222070053_	..
KX434849.1	Theopompa_milligratulata	B	M	B	yes		
NC_086827.1	Theopompa_ophthalmica	B	M	B	yes		"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Theopompa_blanchardi_Holotype_F_DH_50mm_1	3.jpg_"
KU201314.1	Theopompa_sp.	B	M	B	yes		
KX434829.1	Theopropus_cattulus	M	M	M	no	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Creobroter_cattulus_Holotype_M_DH_100mm_1	1_F5.jpg"	
KY689125.1	Theopropus_elegans	M	M	M	no	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Creobroter_elegans_Holotype_M_DH_100mm_1	1.jpg"	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC002149_DH_50mm_1	3.jpg"
KX434818.1	Theopropus_rubrobrunneus	M	M	M	no	https://www.inaturalist.org/observations/66961505_	https://www.inaturalist.org/observations/59201522_
NC_086823.1	Theopropus_sinecus	M	M	M	no	https://www.inaturalist.org/observations/233690782	https://www.inaturalist.org/observations/147262807_
OM202564.1	Theopropus_sp.	M	M	M	no	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC004569_Theopropus_sp_M_DH_100mm_1	2.jpg_"	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/USNMENT01073154_Phyllothelys_westwoodi_DH_50mm_1	2.5.jpg_"
KX434837.1	Toxodera_hauseri	B	M	B	yes	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Toxodera_hauseri_HM_DH_50mm_1	4.jpg_"	
NC_037205.1	Tropidomantis_tenera	M	M	M	no		https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/NRM-MANT0000448_Tropidomantis_tenera_dors.jpg_
MW357303.1	Yersinia_mexicana	M	M	A	yes	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Yersinia_mexicanus_HM_DH_100mm_1	2.jpg_"	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/USNMENT00874552_Yersinia_mexicana_F_DH_100mm_1	1.5.jpg_"
