Wings
B
M
M
B
B
M
M
B
B
B
B
B
B
B
B
M
M
M
B
B
B
B
B
A
M
M
M
M
B
B
B
M
B
A
M
B
B
B
B
B
B
B
M
B
M
M
B
M
B
M
M
M
M
M
M
M
M
B
M
M
B
B
B
B
B
B
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
B
M
M
M
M
M
M
M
M
M
M
M
B
M
M
M
M
B
M
M
M
B
B
B
B
M
M
M
B
M
M
M
M
M
M
M
M
M
M
B
B
B
B
B
B
M
B
M
M
B
M
B
M
M
M
M
M
B
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
B
M
M
M
M
B
B
B
B
M
M
M
M
M
B
M
M
