AN	Species	Wings	Male	Female	Dimorphism	Source
NC_051892.1	Arria_pallida	M	M	na	na	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+new+species+of+the+genus+Arria+St%C3%A5l%2C+1877+%28Mantodea%2C+Haaniidae%29+from+China+with+notes+on+the+tribe+Arriini+Giglio-Tos%2C+1919&btnG=
OM202563.1	Arria_pallida_2	M	M	na	na	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+new+species+of+the+genus+Arria+St%C3%A5l%2C+1877+%28Mantodea%2C+Haaniidae%29+from+China+with+notes+on+the+tribe+Arriini+Giglio-Tos%2C+1919&btnG=
NC_086829.1	Arria_pura	M	M	A	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+new+species+of+the+genus+Arria+St%C3%A5l%2C+1877+%28Mantodea%2C+Haaniidae%29+from+China+with+notes+on+the+tribe+Arriini+Giglio-Tos%2C+1919&btnG=
MW357297.1	Asiadodis_yunnanensis	B	M	B	yes	https://www.mysterymantis.de/shop/mantodea/asiadodis-yunnanensis/
PP438763.1	Astyliasula_basinigra	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Revision+of+Hestiasulini+Giglio-Tos%2C+1915+stat.+rev.+%28Insecta%3A+Mantodea%3A+Hymenopodidae%29+of+Borneo%2C+with+description+of+new+taxa+and+comments+on+the+taxonomy+of+the+tribe&btnG=			
NC_086830.1	Astyliasula_major	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Revision+of+Hestiasulini+Giglio-Tos%2C+1915+stat.+rev.+%28Insecta%3A+Mantodea%3A+Hymenopodidae%29+of+Borneo%2C+with+description+of+new+taxa+and+comments+on+the+taxonomy+of+the+tribe&btnG=
KX434828.1	Blepharopsis_mendica	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+phylogenetic+systems+of+Mantodea+%28Insecta%3A+Dictyoptera%29&btnG=
OZ336339.1	Bolivaria_brachyptera	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+systematics+of+Mantodea+revisited%3A+an+updated+classification+incorporating+multiple+data+sources+%28Insecta%3A+Dictyoptera%29&btnG=
KX434826.1	Brunneria_borealis	A	A	A	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=No+mitochondrial+DNA+variation+in+COI+gene+among+widely+distributed+populations+of+a+parthenogenetic+praying+mantid%3A+a+biogeographic+puzzle&btnG=
KY689126.1	Caliris_sp.	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Biodiversity+Record%3A+New+record+of+the+praying+mantis%2C+Caliris+elegans%2C+in+Singapore&btnG=
NC_077476.1	Callibia_diana	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=llometry+and+ontogeny+in+Callibia+diana+St%C3%A5l+%28Mantodea%3A+Acanthopidae%29.%22+Neotropical+Entomology+40.4+%282011%29%3A+462-469.&btnG=
KX434812.1	Camelomantis_moultoni	B	M	B	yes	https://www.entomologiitaliani.net/public/forum/phpBB3/viewtopic.php?f=340&t=88756&view=next
OM910846.1	Carrikerella_sp.	B	M	A	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+phylogenetic+systems+of+Mantodea+%28Insecta%3A+Dictyoptera%29&btnG=
PP438765.1	Ceratocrania_macra	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Taxonomy+and+synonymy+of+Phyllothelys+Wood-+Mason+%28Dictyoptera%3A+Mantodea%29&btnG=
KX091850.1	Ceratomantis_saussurii	B	M	B	yes	https://www.researchgate.net/publication/281745431_Revision_of_the_genus_Ceratomantis_Wood-Mason_1876_Dictyoptera_Mantodea
PP438766.1	Ceratomantis_yunnanensis	B	M	B	yes	https://www.researchgate.net/publication/281745431_Revision_of_the_genus_Ceratomantis_Wood-Mason_1876_Dictyoptera_Mantodea
NC_077479.1	Cheddikulama_straminea	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=ADDITIONS+TO+THE+MANTID+FAUNA+%28INSECTA%3A+MANTODEA%29+OF+PENCH+NATIONAL+PARK%2C+MAHARASHTRA%2C+INDIA&btnG=
PP438767.1	Chlidonoptera_lestoni	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+cryptic+new+species+of+Chlidonoptera+Karsch%2C+1892+from+the+south+west+protected+zone+of+the+Central+African+Republic+%28Insecta%2C+Mantodea%2C+Hymenopodidae%29&btnG=
NC_069808.1	Cilnia_humeralis	B	M	B	yes	https://www.google.com/search?q=Cilnia+humeralis+&client=ubuntu&sca_esv=d539714fd0df0db7&udm=2&biw=1853&bih=891&sxsrf=ANbL-n4vJ-DNEuqLi_CxNasAkXNOJ7UiMw%3A1779359959871&ei=1-AOaoLnNKaC9u8Pj9WzoAM&ved=0ahUKEwjCrteymMqUAxUmgf0HHY_qDDQQ4dUDCBM&uact=5&oq=Cilnia+humeralis+&gs_lp=Egtnd3Mtd2l6LWltZyIRQ2lsbmlhIGh1bWVyYWxpcyAyBxAjGMkCGCcyBxAjGMkCGCcyBBAAGB4yBBAAGB4yBBAAGB4yBBAAGB4yBBAAGB4yBBAAGB5I7wRQ3wNY3wNwAXgAkAEAmAEzoAEzqgEBMbgBA8gBAPgBAZgCAqACXJgDAIgGAZIHATKgB-gFsgcBMbgHUcIHBTMtMS4xyAcigAgB&sclient=gws-wiz-img
NC_069809.1	Citharomantis_falcata	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Records+of+the+genus+Citharomantis+Rehn%2C+1909+from+Borneo+%28Insecta%3A+Mantodea%3A+Hymenopodidae%3A+Acromantinae%29&btnG=
KX434867.1	Creobroter_apicalis	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=First+report+of+Creobroter+apicalis+Saussure%2C+1869+%28Mantodea%3A+Hymenopodidae%29+from+Uttar+Pradesh%2C++India&btnG=
KX091851.1	Creobroter_elongata	B	M	B	yes	https://theprayingmantis.co.uk/creobroter-gemmatus-jewelled-flower-mantis-adult-pairing_2/
NC_030267.1	Creobroter_gemmatus	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Alteration+of+sex-related+developmental+modules%3A+A+case+of+%E2%80%9Cfeminized%E2%80%9D+male+wing+morphology+in+Creobroter+gemmatus+%28Mantodea%3A+Hymenopodidae%29&btnG=
NC_037234.1	Creobroter_jiangxiensis	B	M	B	yes	na
MW222469.1	Creobroter_sp.	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Alteration+of+sex-related+developmental+modules%3A+A+case+of+%E2%80%9Cfeminized%E2%80%9D+male+wing+morphology+in+Creobroter+gemmatus+%28Mantodea%3A+Hymenopodidae%29&btnG=
KX434844.1	Decimiana_sp.	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+new+species+of+Decimiana+Uvarov+%28Insecta%2C+Mantodea%2C+Acanthopidae%29+from+Brazil%2C+with+remarks+on+the+distribution+of+Decimiana+bolivari+%28Chopard%29&btnG=
KX434834.1	Deroplatys_desiccata	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+Origins%2C+Evolution%2C+and+Phylogeny+of+the+Praying+Mantises+%28Dictyoptera%3A+Mantodea%29&btnG=
KY689113.1	Deroplatys_desiccata_2	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+Origins%2C+Evolution%2C+and+Phylogeny+of+the+Praying+Mantises+%28Dictyoptera%3A+Mantodea%29&btnG=
KX434850.1	Deroplatys_lobata	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+Origins%2C+Evolution%2C+and+Phylogeny+of+the+Praying+Mantises+%28Dictyoptera%3A+Mantodea%29&btnG=
NC_069810.1	Deroplatys_truncata	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+Origins%2C+Evolution%2C+and+Phylogeny+of+the+Praying+Mantises+%28Dictyoptera%3A+Mantodea%29&btnG=
KX434825.1	Empusa_pennicornis	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=THE+MANTIDS+OF+CAUCASUS+%28Insecta+Mantodea%29&btnG=
NC_037208.1	Eomantis_yunnanensis	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+phylogenetic+systems+of+Mantodea+%28Insecta%3A+Dictyoptera%29&btnG=
MK400676.1	Eremiaphila_sp.	B	B	B	B	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+phylogenetic+systems+of+Mantodea+%28Insecta%3A+Dictyoptera%29&btnG=
NC_077478.1	Galinthias_amoena	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=R%C3%A9vision+du+genre+Galinthias+St%C3%A5l%2C+1877+%28Mantodea%2C+Galinthiadidae%29&btnG=
KX434815.1	Gongylus_gongylodes	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=R%C3%A9vision+du+genre+Galinthias+St%C3%A5l%2C+1877+%28Mantodea%2C+Galinthiadidae%29&btnG=
NC_086831.1	Gonypeta_brunneri	B	M	B	yes	https://www.semanticscholar.org/paper/A-review-of-the-Gonypetidae-Westwood%2C-1889-with-two-Fatimah-Sultana/4d1749ca2aba32c3a1ad4657f9a657a14e29a6ae
OM177664.1	Gonypeta_sp.	B	M	B	yes	https://www.semanticscholar.org/paper/A-review-of-the-Gonypetidae-Westwood%2C-1889-with-two-Fatimah-Sultana/4d1749ca2aba32c3a1ad4657f9a657a14e29a6ae
KY689130.1	Haania_sp.	B	M	B	yes	https://elibrary.ru/item.asp?id=9172525
KX434845.1	Haania_vitalisi	B	M	B	yes	https://elibrary.ru/item.asp?id=9172525
KX434859.1	Hestiasula_hoffmanni	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Revision+of+Hestiasulini+Giglio-Tos%2C+1915+stat.+rev.+%28Insecta%3A+Mantodea%3A+Hymenopodidae%29+of+Borneo%2C+with+description+of+new+taxa+and+comments+on+the+taxonomy+of+the+tribe&btnG=
KX091855.1	Hestiasula_sp.	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Revision+of+Hestiasulini+Giglio-Tos%2C+1915+stat.+rev.+%28Insecta%3A+Mantodea%3A+Hymenopodidae%29+of+Borneo%2C+with+description+of+new+taxa+and+comments+on+the+taxonomy+of+the+tribe&btnG=
KX434823.1	Heterochaeta_sp.	M	M	M	no	https://theprayingmantis.co.uk/heterochaeta-orientalis-cat-mantis-giant-african-stick-mantis_threat_2_fb/
NC_065745.1	Hierodula_chinensis	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+taxonomic+review+of+the+order+Mantodea+in+Korea+based+on+morphology+and+DNA+barcodes&btnG=
NC_029326.1	Hierodula_formosana	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+taxonomic+review+of+the+order+Mantodea+in+Korea+based+on+morphology+and+DNA+barcodes&btnG=
NC_086819.1	Hierodula_latipennis	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+taxonomic+review+of+the+order+Mantodea+in+Korea+based+on+morphology+and+DNA+barcodes&btnG=
OK542392.1	Hierodula_longa	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+taxonomic+review+of+the+order+Mantodea+in+Korea+based+on+morphology+and+DNA+barcodes&btnG=
NC_065758.1	Hierodula_maculata	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+taxonomic+review+of+the+order+Mantodea+in+Korea+based+on+morphology+and+DNA+barcodes&btnG=
KX434819.1	Hierodula_majuscula	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+taxonomic+review+of+the+order+Mantodea+in+Korea+based+on+morphology+and+DNA+barcodes&btnG=
NC_048984.1	Hierodula_membranacea	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+taxonomic+review+of+the+order+Mantodea+in+Korea+based+on+morphology+and+DNA+barcodes&btnG=
KX434830.1	Hierodula_multispina	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+taxonomic+review+of+the+order+Mantodea+in+Korea+based+on+morphology+and+DNA+barcodes&btnG=
NC_034283.1	Hierodula_patellifera	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+taxonomic+review+of+the+order+Mantodea+in+Korea+based+on+morphology+and+DNA+barcodes&btnG=
OL414959.1	Hierodula_sp.	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+taxonomic+review+of+the+order+Mantodea+in+Korea+based+on+morphology+and+DNA+barcodes&btnG=
MW357298.1	Hierodula_sp._2	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+taxonomic+review+of+the+order+Mantodea+in+Korea+based+on+morphology+and+DNA+barcodes&btnG=
NC_065746.1	Hierodula_zhangi	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+taxonomic+review+of+the+order+Mantodea+in+Korea+based+on+morphology+and+DNA+barcodes&btnG=
KY689136.1	Hierodulella_sp.	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+taxonomic+review+of+the+order+Mantodea+in+Korea+based+on+morphology+and+DNA+barcodes&btnG=
NC_030264.1	Humbertiella_nada	M	M	na	na	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Mantodea+%28Insecta%29+of+Nepal%3A+corrections+and+annotations+to+the+checklist&btnG=
KX434857.1	Humbertiella_nada_2	M	M	na	na	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Mantodea+%28Insecta%29+of+Nepal%3A+corrections+and+annotations+to+the+checklist&btnG=
MG888449.1	Hymenopus_coronatoides	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+taxonomic+review+of+the+order+Mantodea+in+Korea+based+on+morphology+and+DNA+barcodes&btnG=
KX434861.1	Hymenopus_coronatus	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+taxonomic+review+of+the+order+Mantodea+in+Korea+based+on+morphology+and+DNA+barcodes&btnG=
KX434864.1	Idolomantis_diabolica	M	M	M	no	https://www.researchgate.net/publication/330385090_Invasive_Mantodea_species_in_Europe
KX434824.1	Idolomorpha_lateralis	M	M	M	no	https://scholar.google.com/scholar?q=Of+flowers+and+twigs:+phylogenetic+revision+of+the+plant-mimicking+praying+mantises+(Mantodea:+Empusidae+and+Hymenopodidae)+with+a+new+suprageneric+classification&hl=it&as_sdt=0,5
KX434820.1	Iris_polystictica	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+phylogenetic+systems+of+Mantodea+%28Insecta%3A+Dictyoptera%29&btnG=
NC_024028.1	Leptomantella_albella	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+review+of+the+Leptomantellidae+of+Borneo+%28Insecta%3A+Mantodea%29&btnG=
MG888453.1	Leptomantella_lactea	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+review+of+the+Leptomantellidae+of+Borneo+%28Insecta%3A+Mantodea%29&btnG=
OM202571.1	Leptomantella_sp.	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+review+of+the+Leptomantellidae+of+Borneo+%28Insecta%3A+Mantodea%29&btnG=
OK480879.1	Leptomantella_tonkinae	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+review+of+the+Leptomantellidae+of+Borneo+%28Insecta%3A+Mantodea%29&btnG=
PP072306.1	Majangella_moultoni	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+case+of+the+higher-level+classification+of+praying+mantises+%28Mantodea%29+obscuring+the+synonymy+of+Majangella+Giglio-Tos%2C+1915+%28Liturgusidae%2C+Liturgusinae%29+and+Ephippiomantis+Werner%2C+1922+%28Hymenopodidae%2C+Acromantinae%29&btnG=
NC_030265.1	Mantis_religiosa	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+taxonomic+review+of+the+order+Mantodea+in+Korea+based+on+morphology+and+DNA+barcodes&btnG=
MN267041.1	Mekongomantis_quinquespinosa	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+new+species+and+two+new+species+records+of+Hierodulinae+from+China%2C+with+a+revision+of+Hierodula+chinensis+%28Mantodea%3A+Mantidae%29&btnG=
