Code    AN      Family  Subfamily       Species	wing	Source
Creelo	KX091851.1	Hymenopodidae	Hymenopodinae	Creobroter_elongata	m(macrotteri)-f(brachittere)
Cregem	NC_030267.1	Hymenopodidae	Hymenopodinae	Creobroter_gemmatus	macrottera
Crejia	NC_037234.1	Hymenopodidae	Hymenopodinae	Creobroter_jiangxiensis	m(macrotteri)-f(brachittere)
Crespe	MW222469.1	Hymenopodidae	Hymenopodinae	Creobroter_sp.	macrottera
Decspe	KX434844.1	Acanthopidae	Acanthopinae	Decimiana_sp.	macrottera
Derdes	KX434834.1	Deroplatyidae	Deroplatyinae	Deroplatys_desiccata	macrottera
Derdes2	KY689113.1	Deroplatyidae	Deroplatyinae	Deroplatys_desiccata_2	macrottera
Derlob	KX434850.1	Deroplatyidae	Deroplatyinae	Deroplatys_lobata	macrottera
Dertru	NC_069810.1	Deroplatyidae	Deroplatyinae	Deroplatys_truncata	macrottera
Emppen	KX434825.1	Empusidae	Empusinae	Empusa_pennicornis	macrottera
Eomyun	NC_037208.1	Nanomantidae	Tropidomantinae	Eomantis_yunnanensis	f(macrottere)
Erespe	MK400676.1	Eremiaphilidae	Eremiaphilinae	Eremiaphila_sp.	attera/brachittera
Galamo	NC_077478.1	Galinthiadidae	na	Galinthias_amoena	macrottera
Gongon	KX434815.1	Empusidae	Empusinae	Gongylus_gongylodes	macrottera
Gonbru	NC_086831.1	Gonypetidae	Gonypetinae	Gonypeta_brunneri	m(macrotteri)-f(brachittere/attere)
Gonspe	OM177664.1	Gonypetidae	Gonypetinae	Gonypeta_sp.	m(macrotteri)-f(brachittere/attere)
Haaspe	KY689130.1	Haaniidae	Haaniinae	Haania_sp.	m(macrotteri)-f(brachittere)
Haavit	KX434845.1	Haaniidae	Haaniinae	Haania_vitalisi	m(macrotteri)-f(brachittere)
Heshof	KX434859.1	Hymenopodidae	Oxypilinae	Hestiasula_hoffmanni	m(macrotteri)-f(brachittere)
Hesspe	KX091855.1	Hymenopodidae	Oxypilinae	Hestiasula_sp.	m(macrotteri)-f(brachittere)
Hetspe	KX434823.1	Toxoderidae	Heterochaetinae	Heterochaeta_sp.	macrottera
Hiechi	NC_065745.1	Mantidae	Hierodulinae	Hierodula_chinensis	macrottera
Hiefor	NC_029326.1	Mantidae	Hierodulinae	Hierodula_formosana	macrottera
Hielat	NC_086819.1	Mantidae	Hierodulinae	Hierodula_latipennis	macrottera
